 "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "Xp",  "Yp"
-42,124,2.14145,0.00120163,0.018798,0.00012451,3.91338e-05,0.0187981,0.000124428,0.00209568,0.00357457,108,26,2.14145,-0.00120163,-39.8586,124.001
-37,124,2.23556,0.000530243,0.0199132,0.000108569,4.42367e-05,0.0199133,0.000108471,0.00223363,0.00435164,113,26,2.23555,-0.000529585,-34.7644,124.001
-32,124,2.34187,0.000322342,0.0210094,9.29961e-05,4.49488e-05,0.0210095,9.28994e-05,0.00214896,0.00486735,118,26,2.34187,-0.000321975,-29.6581,124
-27,124,2.45467,0.000417709,0.0216525,8.09717e-05,5.76064e-05,0.0216526,8.08174e-05,0.00267046,0.00504735,123,26,2.45467,-0.00041712,-24.5453,124
-22,124,2.56638,0.000200272,0.021576,6.54637e-05,7.56051e-05,0.0215762,6.51991e-05,0.00351474,0.00488528,128,26,2.56638,-0.000200227,-19.4336,124
-17,124,2.67703,-0.000335693,0.0208305,3.28758e-05,7.61598e-05,0.0208307,3.25963e-05,0.00366189,0.00439329,133,26,2.67704,0.000335498,-14.323,124
-12,124,2.7811,-0.000471115,0.0197168,-7.38133e-06,5.64987e-05,0.0197169,-7.54371e-06,0.00286441,0.00370206,138,26,2.7811,0.000471422,-9.2189,124
-7,124,2.8759,-0.000125885,0.0186259,-3.20406e-05,2.31338e-05,0.018626,-3.20701e-05,0.00123989,0.00301035,143,26,2.8759,0.000126669,-4.1241,124
-2,124,2.96471,-0.000358582,0.0179629,-2.76872e-05,-1.97857e-05,0.0179629,-2.77078e-05,-0.00109978,0.00241232,148,26,2.96471,0.000359207,0.964706,124
3,124,3.05148,-0.000892639,0.0179774,9.64686e-07,-5.03793e-05,0.0179776,8.23289e-07,-0.00280249,0.00250058,153,26,3.05149,0.00089255,6.05148,123.999
8,124,3.14053,-0.00165367,0.0186697,4.1149e-05,-3.18301e-05,0.0186697,4.10955e-05,-0.00170867,0.00341222,158,26,3.14053,0.00165289,11.1405,123.998
13,124,3.23578,-0.00408936,0.0198357,9.39612e-05,5.27922e-05,0.0198359,9.38205e-05,0.00267411,0.00431929,163,26,3.23578,0.00408961,16.2358,123.996
18,124,3.33917,-0.00449181,0.0210573,0.000149284,0.000153486,0.0210584,0.000148157,0.00734048,0.00512929,168,26,3.33918,0.00449178,21.3392,123.996
23,124,3.45151,-0.00243568,0.0218024,0.000179279,0.00018844,0.021804,0.000177638,0.00871388,0.00576216,173,26,3.45151,0.00243578,26.4515,123.998
28,124,3.56848,0.000843048,0.0217223,0.000176863,0.000146393,0.0217233,0.000175869,0.00679418,0.00587914,178,26,3.56849,-0.000842331,31.5685,124.001
33,124,3.67979,0.000968933,0.0208443,0.000142986,7.52091e-05,0.0208446,0.000142713,0.00363299,0.00548037,183,26,3.6798,-0.000969564,36.6798,124.001
38,124,3.78134,0.000198364,0.0195818,0.000102238,2.93453e-05,0.0195818,0.000102195,0.00150646,0.00443502,188,26,3.78135,-0.000197645,41.7813,124
43,124,3.87589,0.00141716,0.0184878,7.06126e-05,1.04748e-05,0.0184878,7.06073e-05,0.000568753,0.00325673,193,26,3.87588,-0.00141793,46.8759,124.001
48,124,3.96297,0.00125313,0.01795,4.45582e-05,2.12634e-06,0.01795,4.45582e-05,0.000118754,0.00234552,198,26,3.96297,-0.00125257,51.963,124.001
53,124,4.05087,0.000541687,0.0180964,2.02363e-05,9.3818e-08,0.0180964,2.02358e-05,5.19015e-06,0.00262152,203,26,4.05087,-0.000541842,57.0509,124.001
58,124,4.14153,0.00111198,0.0188246,4.53981e-06,1.90926e-05,0.0188247,4.51971e-06,0.00101447,0.00345732,208,26,4.14152,-0.00111163,62.1415,124.001
63,124,4.23816,0.00205612,0.019865,-1.15256e-06,3.1629e-05,0.019865,-1.20327e-06,0.0015921,0.00435264,213,26,4.23816,-0.00205581,67.2382,124.002
68,124,4.34225,0.0019722,0.0208782,3.41473e-06,2.07593e-05,0.0208782,3.39374e-06,0.000994467,0.00484244,218,26,4.34225,-0.00197162,72.3423,124.002
73,124,4.45184,0.00204849,0.0215337,2.2653e-05,-1.38515e-05,0.0215337,2.26442e-05,-0.000643925,0.00504538,223,26,4.45184,-0.00204881,77.4518,124.002
78,124,4.56508,0.00107574,0.0215702,5.04018e-05,-4.29049e-05,0.0215702,5.03156e-05,-0.00199373,0.00481243,228,26,4.56508,-0.00107549,82.5651,124.001
83,124,4.67567,0.000371933,0.0209304,8.20757e-05,-4.44563e-05,0.0209305,8.19806e-05,-0.00213236,0.00430759,233,26,4.67567,-0.000371472,87.6757,124
88,124,4.78082,-0.000535965,0.0198439,9.00757e-05,-1.03215e-05,0.0198439,9.00701e-05,-0.000522507,0.00374026,238,26,4.78083,0.000536214,92.7808,123.999
93,124,4.8765,-0.000514984,0.0187279,6.53612e-05,2.90636e-05,0.0187279,6.53174e-05,0.00155732,0.00310497,243,26,4.87649,0.000515357,97.8765,123.999
98,124,4.96548,0.0012188,0.0180449,1.24228e-05,6.01947e-05,0.0180451,1.22208e-05,0.00333808,0.00268134,248,26,4.96548,-0.00121886,102.965,124.001
103,124,5.05356,0.00164032,0.0181052,-5.12277e-05,4.97222e-05,0.0181053,-5.13643e-05,0.00273852,0.00266307,253,26,5.05357,-0.00163975,108.054,124.002
108,124,5.14087,0.00221443,0.0188563,-0.000115332,8.71388e-06,0.0188563,-0.000115335,0.000459312,0.00313186,258,26,5.14087,-0.00221352,113.141,124.002
113,124,5.2395,0.00271416,0.0199088,-0.000154949,-4.36458e-05,0.0199089,-0.000155045,-0.00217534,0.00402498,263,26,5.23951,-0.00271496,118.24,124.003
118,124,5.34634,0.000602722,0.0209555,-0.000173611,-9.16666e-05,0.0209559,-0.000174009,-0.00433828,0.00477124,268,26,5.34634,-0.000601986,123.346,124.001
123,124,5.45496,-0.000524521,0.0215664,-0.00012975,-9.94611e-05,0.0215668,-0.000130206,-0.00458415,0.00523753,273,26,5.45494,0.000524597,128.455,123.999
128,124,5.56601,-0.00241852,0,0,0,0,0,0,-1,278,26,5.566,0.00241834,133.566,123.998
-132,119,0.34833,0.000917435,0.0212022,0.000145132,-0.000261179,0.0212054,0.000141893,-0.0124009,0.00445503,18,31,0.34833,-0.000917718,-131.652,119.001
-127,119,0.45557,-0.00189972,0.0213663,0.000121401,-7.69693e-05,0.0213666,0.000121123,-0.00362288,0.00479446,23,31,0.455571,0.0019006,-126.544,118.998
-122,119,0.564548,-0.0015316,0.021208,0.000105465,5.70059e-05,0.0212081,0.00010531,0.00270135,0.0047647,28,31,0.564548,0.00153183,-121.435,118.998
-117,119,0.674469,-0.000246048,0.0206542,9.2374e-05,0.000132508,0.0206551,9.15201e-05,0.00644398,0.00430203,33,31,0.674469,0.00024686,-116.326,119
-112,119,0.778305,0.000228882,0.0197429,7.10688e-05,0.00014259,0.0197439,7.00355e-05,0.00724795,0.0037156,38,31,0.778305,-0.000229065,-111.222,119
-107,119,0.87347,0.00166321,0.0187706,3.63333e-05,0.000121628,0.0187714,3.5543e-05,0.0064919,0.00299028,43,31,0.873472,-0.00166349,-106.127,119.002
-102,119,0.964405,0.000219345,0.0181719,-1.25281e-05,0.000103862,0.0181725,-1.31214e-05,0.00571137,0.00239278,48,31,0.964406,-0.00022024,-101.036,119
-97,119,1.0523,-0.000204086,0.0182299,-6.24519e-05,9.01324e-05,0.0182304,-6.28969e-05,0.00492715,0.00255996,53,31,1.0523,0.000203867,-95.9477,119
-92,119,1.14186,-0.000324249,0.018902,-0.000103943,6.88086e-05,0.0189023,-0.000104193,0.0036203,0.00306537,58,31,1.14186,0.000324341,-90.8581,119
-87,119,1.24032,-0.000829697,0.0199128,-0.000131905,4.36722e-05,0.0199129,-0.000132,0.00217872,0.00377733,63,31,1.24032,0.00083031,-85.7597,118.999
-82,119,1.34489,-0.00123596,0.0208586,-0.000143417,2.08426e-05,0.0208587,-0.000143437,0.000992405,0.00436581,68,31,1.34489,0.00123582,-80.6551,118.999
-77,119,1.45399,-0.00053978,0.0213849,-0.000127144,5.68338e-06,0.0213849,-0.000127146,0.000264195,0.00472276,73,31,1.45398,0.000539458,-75.546,118.999
-72,119,1.56595,-0.000530243,0.0213442,-8.80459e-05,-2.43012e-05,0.0213442,-8.80733e-05,-0.00113386,0.00480666,78,31,1.56595,0.000530873,-70.4341,118.999
-67,119,1.67407,0.00031662,0.0207476,-3.40182e-05,-7.57779e-05,0.0207479,-3.42941e-05,-0.00364632,0.00443149,83,31,1.67408,-0.000317217,-65.3259,119
-62,119,1.77712,-0.00021553,0.0197613,2.06181e-05,-0.000119593,0.0197621,1.98931e-05,-0.00605791,0.00377879,88,31,1.77713,0.00021518,-60.2229,119
-57,119,1.87495,-0.00102234,0.0187356,6.23419e-05,-0.000117551,0.0187363,6.16033e-05,-0.00629482,0.00301361,93,31,1.87494,0.00102167,-55.1251,118.999
